Nama  ,Utara,Timur,Barat,Selatan,Dekat
 Cempaka Putih, Sunter Kemayoran , Pulo Mas, Letjen Suprapto, Pramuka , Jend. Ahmad Yani
 Menteng Raya, Medan Merdeka Timur/Veteran, Pasar Senen, Johar, RP. Soeroso, Arief Rachman Hakim
 Gajah Mada, Hayam Wuruk, Samanhudi, KH. Hasyim Ashari, Medan Merdeka Barat, Sukarjo Wiryopranoto
 MH Thamrin, Kebon Sirih, Kramat Raya, KH. Mas Mansyur, Imam Bonjol, KH. Wahid Hasyim
 JENDERAL SUDIRMAN, MH Thamrin, Raya Casablanca, Arteri Permata Hijau, Sisingamangaraja," Imam Bonjol,   R.M Margono Djojohadikoesoemo,  Galunggung, Jl KH. Mas Mansyur,  Gatot Subroto, Pattimura,  Hang Lekir I,  Sisimangaraja"
 SURYOPRANOTO, Gajah Mada, Ir. H. Juanda, Balikpapan ,Cideng Timur," Ir.H. Juanda, Hayam Wuruk,  Majapahit,  Ciledug Barat.  Kyai Caringin,"
 BALIKPAPAN, KH. Hasyim Ashari, Suryopranoto, Tomang Raya, KH. Mas Mansyur," Kyai Caringin,   CIledug Barat,"
 KYAI CARINGIN, KH. Hasyim Ashari, SURYOPRANOTO, Tomang Raya, KH. Mas Mansyur," Ciledug Barat,  Bijak, "
 PRAMUKA, Kramat Raya, Pemuda, Pangeran Diponegoro, Matraman Raya," Pemuda,  Jend. Ahmad Yani,  Salemba Raya, "
 SALEMBA RAYA, Kramat Raya, Pramuka, Pangeran Diponegoro, Matraman Raya," Salemba Tengah,  Pangeran Diponegoro"
 PASEBAN RAYA, Pulo Gundul, Percetakan Negara, Kramat Raya, Salemba Tengah, Kramat Raya
 DIPONEGORO, Pegangsaan Timur, Salemba Raya, Imam Bonjol, Proklamasi, Penataran
 KRAMAT RAYA, Pasar Senen, Pramuka, Proklamasi, Salemba Raya,-
 STASIUN SENEN, Angkasa, Letjen Suprapto, Raya Pantura, Keramat Pulo Gundul," Pasar Senen,  Gn. Sahari"
